Variables con 70% o mas de completitud (403):

Variable                      Completitud    Tipo
------------------------------------------------------------
Caja                                    100.00% categorical
TabacoPrev                               98.50% boolean
UsoTel                                   98.50% boolean
UsoTransp                                98.50% boolean
AusenciaComorb                           98.50% boolean
CEDULA                                   98.50% numeric
Disnea.2                                 98.50% categorical
Edad                                     98.50% numeric
Edema.2                                  98.50% categorical
VacCOVID                                 98.50% boolean
ATalonrodilla                            97.74% numeric
Afiliación                               97.74% categorical
Anemia                                   97.74% boolean
AntDM                                    97.74% boolean
Artreumato                               97.74% boolean
CaidaAño                                 97.74% categorical
Cat2SemDifDesper                         97.74% categorical
Cat4mtsPaso                              97.74% categorical
CatAliment                               97.74% categorical
CatArreglarse                            97.74% boolean
CatAyudAlimen                            97.74% categorical
CatBarthel                               97.74% categorical
CatBaño                                  97.74% boolean
CatCircuBraq                             97.74% categorical
CatCircuPanto                            97.74% boolean
CatDeambula                              97.74% categorical
CatDeposición                            97.74% categorical
CatEscalo                                97.74% categorical
CatIMC                                   97.74% categorical
CatISI                                   97.74% boolean
CatInterfeSueñoAct                       97.74% categorical
CatLevSien5Silla                         97.74% categorical
CatMicción                               97.74% categorical
CatNotableDifSueño                       97.74% categorical
CatPerdApet3Mes                          97.74% categorical
CatPerdPeso3Mes                          97.74% categorical
CatPreocuDifSueñ                         97.74% categorical
CatSPPB                                  97.74% boolean
CatSantiario                             97.74% categorical
CatSatisPatronSueñ                       97.74% categorical
CatTraslado                              97.74% categorical
CatVestirse                              97.74% categorical
ConsMedi                                 97.74% boolean
Deambula                                 97.74% boolean
Dermatopatía                             97.74% boolean
Diabinfantil                             97.74% boolean
DifLevKg                                 97.74% categorical
Difpagobásico                            97.74% categorical
Enfdigest                                97.74% boolean
Enfhepat                                 97.74% boolean
Esclero                                  97.74% boolean
EstadMent                                97.74% boolean
Estrato                                  97.74% categorical
Ingrecon                                 97.74% categorical
Lupus                                    97.74% boolean
Miopatía                                 97.74% boolean
Ocupación                                97.74% categorical
PPantorrilla                             97.74% numeric
Pun2SemDifDesper                         97.74% categorical
Pun4mtsPaso                              97.74% categorical
PunAliment                               97.74% categorical
PunArreglarse                            97.74% categorical
PunAyudAlimen                            97.74% categorical
PunBaño                                  97.74% categorical
PunCircuBraq                             97.74% categorical
PunCircuPanto                            97.74% boolean
PunDeambula                              97.74% categorical
PunDeposición                            97.74% categorical
PunEscalo                                97.74% categorical
PunIMC                                   97.74% categorical
PunInterfeSueñoAct                       97.74% categorical
PunLevSien5Silla                         97.74% categorical
PunMicción                               97.74% categorical
PunNotableDifSueño                       97.74% categorical
PunPerdApet3Mes                          97.74% categorical
PunPerdPeso3Mes                          97.74% categorical
PunPreocuDifSueñ                         97.74% categorical
PunSantiario                             97.74% categorical
PunSatisPatronSueñ                       97.74% categorical
PunTraslado                              97.74% categorical
PunVestirse                              97.74% categorical
PuntBarthel                              97.74% numeric
Religión                                 97.74% boolean
SxSjogren                                97.74% boolean
TenesVesi                                97.74% boolean
Trastiroide                              97.74% boolean
UlcerPresión                             97.74% boolean
Zonaresi                                 97.74% boolean
Enfneuro.1                               97.74% categorical
Fatiga.2                                 97.74% categorical
Apneas                                   96.99% categorical
AutoPerAudi                              96.99% categorical
AutoPerVisi                              96.99% categorical
Cat2SemConSueño                          96.99% categorical
Cat2SemDifSueñ                           96.99% categorical
CatDown                                  96.99% boolean
CatMNA                                   96.99% categorical
CatPercepEstadSalu                       96.99% categorical
CatPercepNutric                          96.99% categorical
CatPiesAlinea                            96.99% categorical
CatPiesJunto                             96.99% boolean
DientSup                                 96.99% categorical
Estrés                                   96.99% categorical
FC                                       96.99% numeric
MovDuerme                                96.99% categorical
NumCaidPrev6Mes                          96.99% categorical
Perd5kg                                  96.99% boolean
Polaquiuria                              96.99% boolean
Pun2SemConSueño                          96.99% categorical
Pun2SemDifSueñ                           96.99% categorical
PunPercepEstadSalu                       96.99% categorical
PunPercepNutric                          96.99% categorical
PunPiesAlinea                            96.99% categorical
PunPiesJunto                             96.99% boolean
PuntFinISI                               96.99% numeric
PuntuMNA                                 96.99% numeric
RetUrina                                 96.99% boolean
RonqRuido                                96.99% categorical
Talla                                    96.99% numeric
Tipreligión                              96.99% categorical
CamCuadra                                96.24% boolean
CatEstres3Mes                            96.24% boolean
CatPiesJunAlLado                         96.24% boolean
IMC                                      96.24% numeric
KiloCalSem                               96.24% boolean
Peso                                     96.24% numeric
PunEstres3Mes                            96.24% categorical
PunPiesJunAlLado                         96.24% boolean
PuntFinSPPB                              96.24% numeric
SO2                                      96.24% numeric
CamTresSeman                             95.49% boolean
DefSenso                                 95.49% boolean
HogarGeriatr                             95.49% boolean
Necetransp                               95.49% categorical
Niveducativo                             95.49% categorical
AutoPerMem                               94.74% categorical
AutoPerSalud                             94.74% categorical
CHCM                                     94.74% numeric
CaidPrev                                 94.74% boolean
FrecLlamad                               94.74% categorical
FrecVisitAmig                            94.74% categorical
Glicemia                                 94.74% numeric
HCM                                      94.74% numeric
Hb                                       94.74% numeric
Hematocri                                94.74% numeric
Linfo                                    94.74% numeric
Monoc                                    94.74% numeric
Nocturia                                 94.74% boolean
PercepCuidado                            94.74% categorical
Plaque                                   94.74% numeric
PuntFinDown                              94.74% categorical
TipoCuidador                             94.74% categorical
VCM                                      94.74% numeric
AparFisi                                 93.98% categorical
CatCalBienGen                            93.98% categorical
CatGAISF                                 93.98% boolean
CatPeqCosPreocu                          93.98% boolean
CatPercepNervio                          93.98% boolean
CatPersPreocu                            93.98% boolean
CatPreocuGranTiemp                       93.98% boolean
CatPropPensPreocu                        93.98% boolean
CatSatisActivid                          93.98% categorical
CatSatisMismo                            93.98% categorical
CatSatisRelInter                         93.98% categorical
CatSatisSalud                            93.98% categorical
CatSatisSentidos                         93.98% categorical
Creatin                                  93.98% numeric
Desplazamiento                           93.98% boolean
DiasEsfuer                               93.98% boolean
Dinamometria                             93.98% numeric
DisfruVida                               93.98% categorical
Exclusión social                         93.98% boolean
Leuco                                    93.98% numeric
Neutrof                                  93.98% numeric
Ninguna violencia                        93.98% boolean
PCR                                      93.98% numeric
PercepSoled                              93.98% boolean
Polifarmacia                             93.98% boolean
PunCalBienGene                           93.98% categorical
PunPeqCosPreocu                          93.98% boolean
PunPercepNervio                          93.98% boolean
PunPersPreocu                            93.98% boolean
PunPreocuGranTiemp                       93.98% boolean
PunPropPensPreocu                        93.98% boolean
PunSatisActivid                          93.98% categorical
PunSatisMismo                            93.98% categorical
PunSatisSalud                            93.98% categorical
PunSatisSentidos                         93.98% categorical
PuntCortDinamo                           93.98% boolean
PuntCortDistan                           93.98% boolean
PuntFinGAISF                             93.98% categorical
Racismo                                  93.98% boolean
SegurVida                                93.98% categorical
SentiVida                                93.98% categorical
VPM                                      93.98% numeric
Violencia Física                         93.98% boolean
Violencia Psicológica                    93.98% boolean
Violencia Sexual                         93.98% boolean
ADE                                      93.23% numeric
ALT                                      93.23% numeric
AST                                      93.23% numeric
CatAbandInterAct                         93.23% boolean
CatAburrido                              93.23% boolean
CatBuenHumor                             93.23% boolean
CatControlCosas                          93.23% categorical
CatEstupVivo                             93.23% boolean
CatFeliz                                 93.23% boolean
CatGentMejorUsted                        93.23% boolean
CatImpotAbando                           93.23% boolean
CatLlenoEnerg                            93.23% boolean
CatMiedoPasar                            93.23% boolean
CatPercepInutil                          93.23% boolean
CatProblemMemor                          93.23% boolean
CatQuedarCuarto                          93.23% boolean
CatSatisObjeVida                         93.23% categorical
CatSatisTiempo                           93.23% categorical
CatSatisVida                             93.23% categorical
CatSinEsperan                            93.23% boolean
CatSufEnergVida                          93.23% categorical
CatVidaVaci                              93.23% boolean
CatYasavage                              93.23% categorical
Colesterol                               93.23% numeric
Estacivil                                93.23% categorical
FinFragilidad                            93.23% categorical
PunAbandInterAct                         93.23% boolean
PunAburrido                              93.23% boolean
PunBuenHumor                             93.23% boolean
PunControlCosas                          93.23% categorical
PunEstupVivo                             93.23% boolean
PunFeliz                                 93.23% boolean
PunGentMejorUsted                        93.23% boolean
PunImpotAbando                           93.23% boolean
PunLlenoEnerg                            93.23% boolean
PunMiedoPasar                            93.23% boolean
PunPercepInutil                          93.23% boolean
PunProblemMemor                          93.23% boolean
PunQuedarCuarto                          93.23% boolean
PunSatisObjeVida                         93.23% categorical
PunSatisRelInter                         93.23% categorical
PunSatisTiempo                           93.23% categorical
PunSatisVida                             93.23% boolean
PunSinEsperan                            93.23% boolean
PunSufEnergVida                          93.23% categorical
PunVidaVaci                              93.23% boolean
PuntFinYasavage                          93.23% numeric
SaluAmbFis                               93.23% categorical
VitB12                                   93.23% numeric
VitD                                     93.23% numeric
CatCircunsVida                           92.48% categorical
CatConsegCosImport                       92.48% categorical
CatRepetVida                             92.48% categorical
CatSWLS                                  92.48% categorical
CatSatisEvenVida                         92.48% categorical
CatSatisRelIntimas                       92.48% categorical
CatSatisViviend                          92.48% categorical
CatSufDinero                             92.48% categorical
PunCircunsVida                           92.48% categorical
PunConsegCosImport                       92.48% categorical
PunRepetVida                             92.48% categorical
PunSatisEvenVida                         92.48% categorical
PunSatisRelIntimas                       92.48% categorical
PunSatisViviend                          92.48% categorical
PunSufDinero                             92.48% categorical
PuntFinSWLS                              92.48% numeric
TSH                                      92.48% numeric
CatSatisVida.1                           92.48% categorical
HipotFinBioq                             92.48% boolean
PunSatisVida.1                           92.48% categorical
ActFisica                                91.73% categorical
Ferritina                                91.73% numeric
Lugnacimiento                            91.73% categorical
ActSociales                              90.98% categorical
CuidPerson                               90.98% categorical
Memoria                                  90.98% categorical
Orienta                                  90.98% categorical
HogaryPasa                               90.23% categorical
Juicio                                   90.23% categorical
Eosinof                                  89.47% numeric
PuntFinCDR                               89.47% numeric
Basof                                    87.97% numeric
Nummedica                                86.47% numeric
AtencyCal                                85.71% categorical
Comprensión                              85.71% categorical
ConsumSuplem                             85.71% boolean
Evocación                                85.71% categorical
LectEscrDib                              85.71% categorical
Orientación                              85.71% numeric
PuntFinMMSE                              85.71% numeric
Lenguaje.1                               85.71% categorical
Memoria.1                                85.71% categorical
VSG                                      82.71% numeric
PruebaCOVID                              81.20% categorical
ACA_IgG                                  80.45% categorical
ACA_IgM                                  80.45% categorical
AMA M2                                   80.45% categorical
B2GPI_IgG                                80.45% categorical
B2GPI_IgM                                80.45% categorical
CENP-B                                   80.45% categorical
DSF70                                    80.45% categorical
Histones                                 80.45% categorical
Jo-1                                     80.45% categorical
Ku                                       80.45% categorical
MPO total ng/mL                          80.45% numeric
MPO-DNA 10% estandar                     80.45% numeric
MPO-DNA 2% estandar                      80.45% numeric
MPO_DNA OD                               80.45% numeric
Mi-2                                     80.45% categorical
Nucleosomes                              80.45% categorical
P0                                       80.45% categorical
PCNA                                     80.45% categorical
PM-Scl                                   80.45% categorical
SS-A/Ro52                                80.45% categorical
SS-A/Ro60                                80.45% categorical
SS-B/La                                  80.45% categorical
Scl70                                    80.45% categorical
SmD1                                     80.45% categorical
TPO                                      80.45% categorical
Tg                                       80.45% categorical
U1-snRNP                                 80.45% categorical
dsDNA                                    80.45% categorical
Albumina                                 74.44% numeric
DosisVac                                 74.44% categorical
TipVacCOVID                              72.18% categorical
